Geographic Area Name,Estimate!!Households!!Total,Margin of Error!!Households!!Total,"Estimate!!Households!!Total!!Less than $10,000","Margin of Error!!Households!!Total!!Less than $10,000","Estimate!!Households!!Total!!$10,000 to $14,999","Margin of Error!!Households!!Total!!$10,000 to $14,999","Estimate!!Households!!Total!!$15,000 to $24,999","Margin of Error!!Households!!Total!!$15,000 to $24,999","Estimate!!Households!!Total!!$25,000 to $34,999","Margin of Error!!Households!!Total!!$25,000 to $34,999","Estimate!!Households!!Total!!$35,000 to $49,999","Margin of Error!!Households!!Total!!$35,000 to $49,999","Estimate!!Households!!Total!!$50,000 to $74,999","Margin of Error!!Households!!Total!!$50,000 to $74,999","Estimate!!Households!!Total!!$75,000 to $99,999","Margin of Error!!Households!!Total!!$75,000 to $99,999","Estimate!!Households!!Total!!$100,000 to $149,999","Margin of Error!!Households!!Total!!$100,000 to $149,999","Estimate!!Households!!Total!!$150,000 to $199,999","Margin of Error!!Households!!Total!!$150,000 to $199,999","Estimate!!Households!!Total!!$200,000 or more","Margin of Error!!Households!!Total!!$200,000 or more",Estimate!!Households!!Median income (dollars),Margin of Error!!Households!!Median income (dollars),Estimate!!Households!!Mean income (dollars),Margin of Error!!Households!!Mean income (dollars)
"Autauga County, Alabama",21559,366,6.2,1.4,4.6,1.2,12.3,2,8.5,1.7,12.7,1.9,17,2,13.4,2.3,16.4,2.3,4.8,1.3,4.2,1.2,57982,4839,75614,5718
"Baldwin County, Alabama",84047,1143,5.2,1,4.8,0.7,7.7,0.8,10,1.1,14,1.4,16.8,1.4,13.7,1.2,15.5,1,5.8,0.7,6.6,0.9,61756,2268,83626,2634
"Barbour County, Alabama",9322,338,14.6,2.6,7.6,1.5,18.4,2.2,9.4,1.7,12.5,1.9,16.3,2.9,7.3,1.6,9.1,2,2.2,0.8,2.6,1.2,34990,2909,51557,4229
"Bibb County, Alabama",7259,299,11,3.3,7.1,2.8,10.5,2.7,9.1,2.7,11.2,3,19.4,3.9,15.6,3.7,11.2,2.5,2.8,1.5,2.2,1.3,51721,6237,61655,5787
"Blount County, Alabama",21205,430,10.1,2,4.6,1,11,1.9,11.2,1.7,14.5,1.9,17.9,2.2,10.8,1.5,12.4,1.7,4.9,1,2.7,0.8,48922,2269,66360,3864
"Bullock County, Alabama",3429,195,18.2,4.6,9.8,5,11.9,4.6,10.6,4,8,3.9,17.4,5.3,7.5,2.9,12.4,4.1,1.3,2,2.8,1.8,33866,10094,50664,5359
"Butler County, Alabama",6649,282,7.9,2.1,7.8,2.3,12.8,2.7,10.2,2.1,16.6,2.5,15.7,2.8,9.4,1.8,13.7,2.4,3.3,1.6,2.6,1,44850,2891,62399,3620
"Calhoun County, Alabama",44572,642,8,1,6.1,0.7,10.9,1.2,11.8,1.3,13.2,1.3,19.2,1.6,12.2,1.3,12.9,1.3,3.3,0.7,2.6,0.6,50128,1964,65276,2164
"Chambers County, Alabama",13582,418,6,1.5,6.5,1.8,13.9,1.7,15.5,2.2,12.8,2.2,18.2,2.6,13.5,2.2,10.3,2,1.6,0.7,1.6,0.9,43875,3861,56122,3112
"Cherokee County, Alabama",10836,476,6.5,1.8,5.2,1.3,14.2,2.6,14.9,3.3,14,2.2,18.4,2.8,10.6,2,9.5,2.2,3.5,1.1,3.3,1.4,42509,3824,61278,5219
